Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Sum,Sum_interpolated
Russia,26402.0,25345.0,28145.0,27403.0,28782.0,29039.0,28142.0,27166.0,26190.0,27927.0,28585.0,28137.0,28080.0,27328.0,26689.0,386194,413360.0
Ukraine,12498.0,13141.0,14496.0,15131.0,13825.0,11590.0,8641.0,10613.0,12585.0,13371.0,13514.0,12811.0,9176.0,6451.0,8416.0,165646,176259.0
Mexico,2798.0,2798.0,6034.0,9270.0,10447.5,11625.0,7455.0,9230.5,11006.0,11974.0,11897.0,12253.0,12057.0,8608.0,5930.0,104873,133383.0
Poland,13855.0,13855.0,13547.0,13239.0,11207.5,9176.0,4423.0,8312.0,12168.0,13749.0,12623.0,11497.0,8977.0,4896.0,4896.0,100292,156420.5
Iran,13621.0,13621.0,13481.0,13341.0,12503.0,11665.0,10827.0,10525.0,10223.0,10403.0,9302.0,8201.0,7451.0,7501.0,7501.0,81568,160166.0
Indonesia,5092.0,5533.0,5668.0,5803.0,6027.0,6089.0,5754.0,5292.0,6058.0,6033.0,6210.5,6388.0,6189.0,5489.0,6120.0,75867,87745.5
India,5093.0,5093.0,1493.0,18306.0,12803.666666666668,7301.333333333334,1799.0,4055.5,6312.0,18160.0,17728.0,17296.0,2235.0,2235.0,2235.0,70694,122145.5
Germany,6472.0,8819.0,11251.0,11030.0,12127.0,6187.5,248.0,2392.5,4537.0,9615.0,7519.5,5424.0,5424.0,5424.0,5424.0,69523,101894.5
Hungary,3951.0,4136.0,6635.0,6212.0,5525.0,6697.0,3870.0,2219.0,3221.0,5415.0,6197.0,5047.0,4153.0,3470.0,1893.0,68641,68641.0
Georgia,3759.0,4033.0,4260.0,5068.0,5450.0,4321.0,2501.0,4673.0,4734.0,4570.0,4146.0,3907.0,2720.0,1337.0,3837.0,59316,59316.0
