Name,Confirmed,Holt_linear,ARIMA,Roll_2,Roll_3,Roll_4
TOTAL,63649292,63649292.0,63649292.0,,,
TOTAL,64327991,64327991.0,64327991.0,63988641.5,,
TOTAL,64905069,64905069.0,64905069.0,64616530.0,64294117.333333336,
TOTAL,65744839,65744839.0,65744839.0,65324954.0,64992633.0,64656797.75
TOTAL,66294914,66294914.0,66294914.0,66019876.5,65648274.0,65318203.25
TOTAL,66936322,66936322.0,66936322.0,66615618.0,66325358.333333336,65970286.0
TOTAL,67493569,67493569.0,67493569.0,67214945.5,66908268.333333336,66617411.0
TOTAL,68017845,68017845.0,68017845.0,67755707.0,67482578.66666667,67185662.5
TOTAL,68741600,68741600.0,68741600.0,68379722.5,68084338.0,67797334.0
TOTAL,69466126,69466126.0,69466126.0,69103863.0,68741857.0,68429785.0
TOTAL,70785317,70119936.76568523,70095029.15449035,70125721.5,69664347.66666667,69252722.0
TOTAL,71633210,70773747.53137046,70712571.260348,71209263.5,70628217.66666667,70156563.25
TOTAL,72220080,71427558.29705568,71337257.954723,71926645.0,71546202.33333333,71026183.25
TOTAL,72734967,72081369.0627409,71950725.83463852,72477523.5,72196085.66666667,71843393.5
TOTAL,73252453,72735179.82842614,72570695.75696722,72993710.0,72735833.33333333,72460177.5
